ADM_CD,ADM_NM,SGG_CD,AtRiskHouse,log_AtRisk
11110720,상계8동,11110,24721,10.115
11110730,상계9동,11110,19982,9.903
11110740,상계10동,11110,30197,10.316
11110760,상계3·4동,11110,0,0
11110770,상계6·7동,11110,18972,9.851
11110780,중계2·3동,11110,0,0
11110790,공릉1동,11110,6417,8.767
11120510,녹번동,11120,28964,10.274
11120520,불광1동,11120,15982,9.679
11120550,갈현1동,11120,23146,10.05
11120560,갈현2동,11120,30477,10.325
11120570,구산동,11120,27933,10.238
11120580,대조동,11120,39940,10.595
11120590,응암1동,11120,22008,9.999
11120600,응암2동,11120,3093,8.037
11120650,신사1동,11120,15263,9.633
11120660,신사2동,11120,761,6.636
11120670,증산동,11120,6818,8.827
11120680,수색동,11120,2136,7.667
11120710,진관동,11120,0,0
11120720,불광2동,11120,8387,9.035
11120730,응암3동,11120,3390,8.129
11120740,역촌동,11120,40511,10.609
11130520,천연동,11130,0,0
11130620,홍제1동,11130,3696,8.215
11130640,홍제3동,11130,2295,7.739
11130650,홍제2동,11130,2809,7.941
11130660,홍은1동,11130,0,0
11130680,홍은2동,11130,0,0
11130690,남가좌1동,11130,0,0
11130700,남가좌2동,11130,0,0
11130710,북가좌1동,11130,5734,8.654
11130720,북가좌2동,11130,11431,9.344
11130730,충현동,11130,1382,7.232
11130740,북아현동,11130,3564,8.179
11130750,신촌동,11130,3081,8.033
11130760,연희동,11130,6120,8.719
11140590,용강동,11140,7945,8.98
11140600,대흥동,11140,9691,9.179
11140610,염리동,11140,6756,8.818
11140630,신수동,11140,4596,8.433
11140660,서교동,11140,16330,9.701
11140680,합정동,11140,2923,7.981
11140690,망원1동,11140,0,0
11140700,망원2동,11140,2888,7.969
11140710,연남동,11140,12341,9.421
11140720,성산1동,11140,12006,9.393
11140730,성산2동,11140,70,4.263
11140740,상암동,11140,1435,7.27
11140750,도화동,11140,4412,8.392
11140760,서강동,11140,5153,8.548
11140770,공덕동,11140,7315,8.898
11140780,아현동,11140,8667,9.067
11150510,목1동,11150,0,0
11150520,목2동,11150,4668,8.449
11150530,목3동,11150,5707,8.65
