FULL_NM,ADM_CD,KOSIS_CD,IM,OM,GM,POP,GM_Rate,TOT_HOUSE,SINGLE_HH,SINGLE_HH_R,Frgn_HH_R,NonHous_R,Youth_R,Elderly_R,
서울특별시 강남구 개포2동,1168067000,11230800,5439,5032,10471,29349.5,35.68,14448,2191,15.16,0.47,4.13,17.44,13.59,
서울특별시 송파구 풍납1동,1171051000,11240510,1078,1552,2630,16897,15.56,5033,1783,35.43,9.14,17.05,16.80,25.65,
서울특별시 송파구 풍납2동,1171052000,11240520,2452,3171,5623,17362.5,32.39,9341,2996,32.07,1.19,17.63,21.54,19.03,
서울특별시 송파구 거여1동,1171053100,11240530,1564,1725,3289,17526,18.77,5124,1853,36.16,1.00,37.87,20.59,23.17,
서울특별시 송파구 거여2동,1171053200,11240540,2834,3112,5946,19473.5,30.53,9394,2684,28.57,0.48,10.11,16.89,20.83,
서울특별시 송파구 마천1동,1171054000,11240550,1492,3182,4674,16204,28.84,7400,2623,35.45,1.19,32.99,16.86,26.41,
서울특별시 송파구 마천2동,1171055000,11240560,1830,2030,3860,15979,24.16,7647,2806,36.69,1.10,48.47,16.94,27.87,
서울특별시 송파구 방이1동,1171056100,11240570,1750,1865,3615,20518,17.62,5765,1595,27.67,1.01,45.72,20.50,17.87,
서울특별시 송파구 방이2동,1171056200,11240580,5127,5246,10373,21851.5,47.47,14809,8745,59.05,2.54,72.41,35.88,14.74,
서울특별시 송파구 오륜동,1171056600,11240590,1717,1911,3628,27684,13.11,5504,455,8.27,0.16,0.00,15.65,19.41,
서울특별시 송파구 오금동,1171057000,11240600,4999,4466,9465,30105,31.44,14859,4010,26.99,0.71,36.06,18.77,20.54,
서울특별시 송파구 송파1동,1171058000,11240610,3812,4151,7963,20707,38.46,11533,5590,48.47,2.07,76.79,30.55,16.71,
서울특별시 송파구 송파2동,1171059000,11240620,2396,2394,4790,24824.5,19.30,6798,1503,22.11,1.20,25.90,19.08,18.27,
서울특별시 송파구 석촌동,1171060000,11240630,4865,5253,10118,29391,34.43,15703,8037,51.18,2.84,82.14,28.76,16.94,
서울특별시 송파구 삼전동,1171061000,11240640,4450,4819,9269,26534.5,34.93,14728,7501,50.93,1.86,88.44,29.01,15.94,
서울특별시 송파구 가락본동,1171062000,11240650,3153,3608,6761,25894.5,26.11,10570,3784,35.80,2.22,32.60,22.61,18.34,
서울특별시 송파구 가락1동,1171063100,11240660,3146,3445,6591,28844,22.85,9382,1266,13.49,0.36,0.00,15.60,15.49,
서울특별시 송파구 가락2동,1171063200,11240670,3570,4010,7580,24126,31.42,11678,3000,25.69,1.22,33.12,19.83,16.49,
서울특별시 송파구 문정1동,1171064100,11240680,3055,2920,5975,24151.5,24.74,8360,3037,36.33,1.23,45.73,24.91,18.24,
서울특별시 송파구 문정2동,1171064200,11240690,5169,5271,10440,29714,35.13,15017,8228,54.79,0.98,0.00,30.73,16.27,
서울특별시 송파구 잠실본동,1171065000,11240710,4533,4765,9298,31025.5,29.97,14841,8317,56.04,2.77,79.06,31.79,15.57,
서울특별시 송파구 잠실4동,1171069000,11240750,2346,2574,4920,18739.5,26.25,6801,751,11.04,0.44,0.00,12.34,15.96,
서울특별시 송파구 잠실6동,1171071000,11240770,1828,1964,3792,12833.5,29.55,5474,709,12.95,1.38,0.00,14.86,20.81,
서울특별시 송파구 잠실7동,1171072000,11240780,869,917,1786,246812,0.72,3134,382,12.19,0.28,0.00,15.13,26.88,
서울특별시 송파구 잠실2동,1171067000,11240790,4112,4237,8349,34166.5,24.44,11028,1323,12.00,0.45,0.00,12.26,11.96,
서울특별시 송파구 잠실3동,1171068000,11240800,3905,3954,7859,27323,28.76,11212,1343,11.98,0.84,0.00,13.46,20.18,
서울특별시 송파구 장지동,1171064600,11240810,5847,3801,9648,37809.5,25.52,12134,3401,28.03,0.77,25.10,19.71,18.21,
서울특별시 송파구 위례동,1171064700,11240820,4816,4876,9692,36241,26.74,14548,1998,13.73,0.26,0.00,14.78,9.35,
서울특별시 강동구 명일1동,1174053000,11250530,2806,3285,6091,20716,29.40,9391,2146,22.85,0.44,12.73,16.94,19.26,
서울특별시 강동구 명일2동,1174054000,11250540,2233,2444,4677,20302.5,23.04,6048,1416,23.41,0.47,5.51,16.93,18.56,
서울특별시 강동구 고덕1동,1174055000,11250550,2602,2762,5364,24514.5,21.88,7836,1122,14.32,0.64,4.18,11.35,14.65,
서울특별시 강동구 고덕2동,1174056000,11250560,5877,3375,9252,29700.5,31.15,9382,2103,22.42,0.99,6.45,15.15,15.26,
서울특별시 강동구 암사2동,1174058000,11250580,1876,2222,4098,15784.5,25.96,6040,1789,29.62,0.64,16.40,20.23,19.46,
서울특별시 강동구 암사3동,1174059000,11250590,1882,1976,3858,21170.5,18.22,5778,843,14.59,0.27,9.17,14.34,18.51,
서울특별시 강동구 천호1동,1174060000,11250610,3096,3426,6522,29758,21.92,11704,4654,39.76,1.17,49.26,20.46,23.70,
서울특별시 강동구 천호3동,1174062000,11250630,4706,4563,9269,22686,40.86,13644,7027,51.50,2.91,26.17,28.62,19.79,
서울특별시 강동구 성내1동,1174064000,11250650,2287,2600,4887,21368.5,22.87,7747,2324,30.00,0.86,42.31,20.28,18.66,
서울특별시 강동구 성내2동,1174065000,11250660,4086,3728,7814,22962,34.03,12684,6681,52.67,4.46,47.59,28.12,20.79,
서울특별시 강동구 성내3동,1174066000,11250670,2898,3511,6409,34542.5,18.55,9852,3864,39.22,1.62,47.14,22.23,20.34,
서울특별시 강동구 둔촌1동,1174069000,11250700,10904,68,10972,28807,38.09,9,7,77.78,0.00,0.00,0.00,26.32,
서울특별시 강동구 둔촌2동,1174070000,11250710,3800,3428,7228,1644541.5,0.44,9612,2716,28.26,0.97,27.47,19.79,21.18,
