FULL_NM,ADM_CD,KOSIS_CD,IM,OM,GM,POP,GM_Rate,TOT_HOUSE,SINGLE_HH,SINGLE_HH_R,Frgn_HH_R,NonHous_R,Youth_R,Elderly_R,
서울특별시 종로구 사직동,1111053000,11010530,1280,1290,2570,8918.5,28.82,3999,1754,43.86,3.10,14.79,19.75,21.71,
서울특별시 종로구 삼청동,1111054000,11010540,212,230,442,2164,20.43,928,355,38.25,3.19,5.07,17.18,28.01,
서울특별시 종로구 부암동,1111055000,11010550,978,989,1967,8977,21.91,3741,1242,33.20,3.05,31.79,20.86,21.56,
서울특별시 종로구 평창동,1111056000,11010560,1639,1727,3366,17151.5,19.63,6218,1454,23.38,1.81,19.12,16.70,23.51,
서울특별시 종로구 무악동,1111057000,11010570,711,803,1514,7756.5,19.52,2836,591,20.84,0.52,1.61,14.03,20.04,
서울특별시 종로구 교남동,1111058000,11010580,1159,1334,2493,9482.5,26.29,4004,1341,33.49,1.56,27.06,17.91,18.25,
서울특별시 종로구 가회동,1111060000,11010600,456,518,974,3698.5,26.34,1639,641,39.11,2.53,44.91,16.29,22.08,
서울특별시 종로구 종로1·2·3·4가동,1111061500,11010610,1659,1630,3289,6628,49.62,3958,2831,71.53,8.02,2.91,27.21,23.08,
서울특별시 종로구 종로5·6가동,1111063000,11010630,823,881,1704,5352,31.84,3045,1979,64.99,4.87,10.39,36.58,17.20,
서울특별시 종로구 이화동,1111064000,11010640,1386,1250,2636,7023,37.53,3793,2216,58.42,6.71,54.12,40.85,16.64,
서울특별시 종로구 창신1동,1111067000,11010670,608,611,1219,4455.5,27.36,2235,1130,50.56,15.97,10.32,26.79,23.06,
서울특별시 종로구 창신2동,1111068000,11010680,560,695,1255,7251,17.31,3394,1415,41.69,15.31,45.38,25.89,22.16,
서울특별시 종로구 창신3동,1111069000,11010690,594,710,1304,6177.5,21.11,2549,741,29.07,2.70,3.16,22.26,21.35,
서울특별시 종로구 숭인1동,1111070000,11010700,729,757,1486,5727,25.95,2713,1182,43.57,6.09,15.43,22.33,21.95,
서울특별시 종로구 숭인2동,1111071000,11010710,2141,1842,3983,10163,39.19,6214,4183,67.32,6.32,30.64,41.08,16.42,
서울특별시 종로구 청운효자동,1111051500,11010720,1017,1314,2331,10958,21.27,4537,1522,33.55,1.12,42.33,19.19,20.17,
서울특별시 종로구 혜화동,1111065000,11010730,2743,2767,5510,15744.5,35.00,8840,5202,58.85,15.13,42.88,44.11,12.94,
서울특별시 중구 소공동,1114052000,11020520,482,501,983,2176,45.17,1109,621,56.00,15.62,0.00,19.36,10.39,
서울특별시 중구 회현동,1114054000,11020540,620,672,1292,4194.5,30.80,2008,1009,50.25,8.41,4.30,17.32,28.68,
서울특별시 중구 명동,1114055000,11020550,430,470,900,2486,36.20,963,531,55.14,12.70,9.87,19.84,27.40,
서울특별시 중구 필동,1114057000,11020570,1125,774,1899,4318,43.98,2417,1501,62.10,15.90,21.66,40.39,15.41,
서울특별시 중구 장충동,1114058000,11020580,877,863,1740,4532,38.39,2983,1880,63.02,13.69,62.97,44.44,14.67,
서울특별시 중구 광희동,1114059000,11020590,1113,1158,2271,5712.5,39.75,3584,2467,68.83,24.47,6.35,39.05,16.56,
서울특별시 중구 을지로동,1114060500,11020600,695,647,1342,3046,44.06,2020,1318,65.25,6.98,1.66,34.50,12.63,
서울특별시 중구 신당5동,1114065000,11020650,1266,1323,2589,10008.5,25.87,5026,2361,46.98,4.81,9.51,25.83,19.12,
서울특별시 중구 황학동,1114067000,11020670,2561,2175,4736,13119,36.10,7298,4099,56.17,8.40,10.05,31.87,16.03,
서울특별시 중구 중림동,1114068000,11020680,1734,1821,3555,11944.5,29.76,5378,2159,40.15,2.85,12.23,19.79,17.96,
서울특별시 중구 신당동,1114061500,11020690,1293,1273,2566,7400,34.68,4245,2540,59.84,17.39,16.86,31.96,18.34,
서울특별시 중구 다산동,1114062500,11020700,1605,1818,3423,13027.5,26.28,6181,2717,43.96,4.47,52.67,25.70,22.54,
서울특별시 중구 약수동,1114063500,11020710,1885,1999,3884,15816,24.56,7228,2727,37.73,1.21,9.99,17.68,26.80,
서울특별시 중구 청구동,1114064500,11020720,1350,1897,3247,11508.5,28.21,5653,2111,37.34,1.99,8.77,21.76,23.24,
서울특별시 중구 동화동,1114066500,11020730,1038,1123,2161,9776,22.11,3756,927,24.68,2.76,5.41,18.09,22.21,
서울특별시 용산구 후암동,1117051000,11030510,1851,2012,3863,15713,24.58,7332,3264,44.52,3.49,49.34,23.69,19.56,
서울특별시 용산구 용산2가동,1117052000,11030520,1082,1248,2330,8575.5,27.17,4342,2090,48.13,10.86,49.37,28.59,21.21,
서울특별시 용산구 남영동,1117053000,11030530,1312,1296,2608,6860,38.02,3830,2576,67.26,5.95,27.60,22.86,21.95,
서울특별시 용산구 원효로2동,1117057000,11030570,1685,1806,3491,13463,25.93,5928,2305,38.88,1.29,15.87,23.15,19.11,
서울특별시 용산구 효창동,1117058000,11030580,1480,1698,3178,10444,30.43,4392,1452,33.06,1.03,38.49,24.63,15.98,
서울특별시 용산구 용문동,1117059000,11030590,1329,1572,2901,11103.5,26.13,4977,1871,37.59,1.16,33.18,23.33,21.11,
서울특별시 용산구 이촌1동,1117063000,11030630,2620,2560,5180,24948.5,20.76,8400,1313,15.63,3.05,0.12,13.72,19.05,
서울특별시 용산구 이촌2동,1117064000,11030640,958,1112,2070,7729,26.78,3240,1012,31.23,1.02,11.45,17.72,24.50,
서울특별시 용산구 이태원1동,1117065000,11030650,1013,1006,2019,5957,33.89,3108,1567,50.42,21.11,16.97,28.82,19.07,
서울특별시 용산구 이태원2동,1117066000,11030660,1315,1301,2616,8425.5,31.05,4227,2038,48.21,12.51,31.03,26.66,19.05,
서울특별시 용산구 서빙고동,1117069000,11030690,2046,1996,4042,12246.5,33.01,4673,1284,27.48,3.23,18.28,16.52,18.91,
서울특별시 용산구 보광동,1117070000,11030700,774,4663,5437,6935,78.40,3759,1925,51.21,7.84,24.86,23.97,20.80,
서울특별시 용산구 청파동,1117055500,11030710,2964,3153,6117,18604,32.88,10299,6055,58.79,3.31,56.53,35.59,16.94,
서울특별시 용산구 원효로1동,1117056000,11030720,2911,2983,5894,17023,34.62,8556,4356,50.91,2.57,22.11,31.21,12.34,
서울특별시 용산구 한강로동,1117062500,11030730,3337,3516,6853,20894,32.80,9986,4528,45.34,5.65,6.37,27.02,15.68,
서울특별시 용산구 한남동,1117068500,11030740,1740,5399,7139,13889,51.40,6442,2809,43.60,8.64,21.51,19.71,18.36,
서울특별시 성동구 왕십리2동,1120052000,11040520,1923,2054,3977,15852,25.09,7059,2686,38.05,3.16,3.30,23.86,17.78,
서울특별시 성동구 마장동,1120054000,11040540,2615,2818,5433,21378,25.41,9950,4328,43.50,3.88,12.43,28.17,19.54,
서울특별시 성동구 사근동,1120055000,11040550,2878,2879,5757,11878,48.47,7709,5502,71.37,11.21,30.85,56.45,9.77,
서울특별시 성동구 행당1동,1120056000,11040560,2008,1956,3964,14576.5,27.19,6000,2321,38.68,3.31,13.63,25.68,17.08,
서울특별시 성동구 행당2동,1120057000,11040570,2226,2517,4743,22499,21.08,8712,2050,23.53,0.47,2.29,18.25,19.21,
서울특별시 성동구 응봉동,1120058000,11040580,1404,1642,3046,14561.5,20.92,5491,1180,21.49,0.31,23.56,17.33,18.37,
서울특별시 성동구 금호1가동,1120059000,11040590,1625,1802,3427,14422.5,23.76,5986,1748,29.20,0.48,14.30,16.92,20.35,
서울특별시 성동구 금호4가동,1120062000,11040620,1759,1876,3635,13958,26.04,5872,1833,31.22,1.72,4.86,16.72,19.66,
서울특별시 성동구 성수1가1동,1120065000,11040650,1970,2175,4145,15048.5,27.54,6920,2711,39.18,2.76,11.37,24.52,17.02,
서울특별시 성동구 성수1가2동,1120066000,11040660,1488,1746,3234,12803,25.26,5574,2404,43.13,3.51,10.54,25.65,17.79,
서울특별시 성동구 성수2가1동,1120067000,11040670,1640,2075,3715,13909.5,26.71,6884,3140,45.61,5.22,13.97,21.93,21.73,
서울특별시 성동구 성수2가3동,1120069000,11040680,1448,1830,3278,9583,34.21,4514,2033,45.04,3.71,20.01,27.84,19.86,
서울특별시 성동구 송정동,1120072000,11040690,1081,1285,2366,9282,25.49,4892,2494,50.98,6.02,23.47,25.77,20.06,
서울특별시 성동구 용답동,1120079000,11040700,1952,1878,3830,12544.5,30.53,6920,4336,62.66,9.41,13.06,35.81,19.01,
서울특별시 성동구 왕십리도선동,1120053500,11040710,3421,3652,7073,25782,27.43,11405,4397,38.55,2.72,5.52,23.71,16.94,
서울특별시 성동구 금호2·3가동,1120061500,11040720,2286,3128,5414,20799.5,26.03,8984,2737,30.47,1.18,17.95,19.20,19.49,
서울특별시 성동구 옥수동,1120064500,11040730,3133,3376,6509,25200,25.83,10022,2542,25.36,1.20,1.37,16.65,18.38,
서울특별시 광진구 화양동,1121571000,11050530,5531,5820,11351,22810.5,49.76,17461,13728,78.62,9.32,43.71,62.16,8.32,
서울특별시 광진구 군자동,1121573000,11050540,2822,3135,5957,18568,32.08,11012,6720,61.02,9.47,43.42,40.01,15.12,
서울특별시 광진구 중곡1동,1121574000,11050550,2063,2177,4240,14974,28.32,8025,4229,52.70,3.84,59.76,31.00,18.25,
서울특별시 광진구 중곡2동,1121575000,11050560,2451,2780,5231,19951,26.22,9715,4445,45.75,2.42,65.48,26.82,18.86,
서울특별시 광진구 중곡3동,1121576000,11050570,1881,2207,4088,15265.5,26.78,7655,3610,47.16,2.29,53.18,25.35,21.02,
서울특별시 광진구 중곡4동,1121577000,11050580,2710,2956,5666,26998,20.99,12011,4377,36.44,1.44,64.43,22.28,21.81,
서울특별시 광진구 능동,1121578000,11050590,1773,1942,3715,10862.5,34.20,6142,3594,58.52,3.00,64.01,34.29,15.85,
서울특별시 광진구 구의1동,1121585000,11050600,3660,3832,7492,22915,32.69,12300,6717,54.61,4.25,68.39,32.53,15.58,
서울특별시 광진구 구의2동,1121586000,11050610,2722,2992,5714,25039.5,22.82,10552,3517,33.33,2.11,57.50,20.28,19.68,
서울특별시 광진구 구의3동,1121587000,11050620,3301,3507,6808,27598.5,24.67,11240,3619,32.20,1.86,25.26,22.44,17.62,
서울특별시 광진구 광장동,1121581000,11050630,3589,3734,7323,33334,21.97,11151,1707,15.31,0.71,5.20,15.79,13.12,
서울특별시 광진구 자양1동,1121582000,11050640,3137,3195,6332,21630,29.27,11089,5646,50.92,6.26,57.76,28.56,18.07,
서울특별시 광진구 자양2동,1121583000,11050650,2584,2795,5379,24878.5,21.62,10105,3638,36.00,2.67,43.52,21.78,20.28,
서울특별시 광진구 자양3동,1121584000,11050660,2826,3042,5868,26835,21.87,10238,2512,24.54,1.78,9.11,19.45,18.48,
서울특별시 광진구 자양4동,1121584700,11050670,2514,2708,5222,19718,26.48,9913,4874,49.17,24.86,24.69,26.83,19.86,
서울특별시 동대문구 회기동,1123071000,11060710,2063,2210,4273,11721,36.46,6548,4475,68.34,15.94,20.93,54.58,9.98,
서울특별시 동대문구 휘경1동,1123072000,11060720,2406,2675,5081,20333.5,24.99,7184,4005,55.75,14.54,15.65,42.59,13.58,
서울특별시 동대문구 휘경2동,1123073000,11060730,3311,3382,6693,20419,32.78,11955,6044,50.56,3.92,17.51,33.96,17.75,
서울특별시 동대문구 청량리동,1123070500,11060800,2040,2156,4196,14081,29.80,8872,4095,46.16,4.08,13.74,19.78,30.74,
서울특별시 동대문구 용신동,1123053600,11060810,6081,5813,11894,22696.5,52.40,19807,10426,52.64,5.37,17.92,29.40,17.48,
서울특별시 동대문구 제기동,1123054500,11060820,3452,3409,6861,27550.5,24.90,11586,6030,52.05,10.02,27.20,31.04,22.97,
서울특별시 동대문구 전농1동,1123056000,11060830,4891,4118,9009,24970,36.08,15654,6901,44.08,2.21,21.71,25.30,18.47,
서울특별시 동대문구 전농2동,1123057000,11060840,1623,1861,3484,22574,15.43,7040,1960,27.84,0.71,6.48,20.40,21.64,
서울특별시 동대문구 답십리2동,1123061000,11060860,2594,2982,5576,32187.5,17.32,11653,3940,33.81,1.51,4.69,19.49,22.71,
서울특별시 동대문구 장안1동,1123065000,11060870,4073,4308,8381,34983,23.96,16682,6579,39.44,1.94,24.87,21.69,19.91,
서울특별시 동대문구 장안2동,1123066000,11060880,3723,3521,7244,25611.5,28.28,13383,4220,31.53,1.38,21.80,18.52,18.95,
서울특별시 동대문구 이문1동,1123074000,11060890,2951,4131,7082,21720.5,32.61,10154,6347,62.51,13.43,16.92,45.49,14.50,
서울특별시 동대문구 이문2동,1123075000,11060900,1696,2029,3725,198516,1.88,8117,2785,34.31,3.15,6.29,21.79,22.22,
서울특별시 동대문구 답십리1동,1123060000,11060910,3630,3706,7336,27142,27.03,12132,4548,37.49,1.82,5.12,22.57,16.75,
서울특별시 중랑구 면목2동,1126052000,11070520,2466,2740,5206,20425.5,25.49,11023,4674,42.40,1.89,32.75,20.18,22.67,
서울특별시 중랑구 면목4동,1126054000,11070540,1846,2059,3905,15853,24.63,8014,3113,38.84,2.13,23.82,19.14,23.37,
서울특별시 중랑구 면목5동,1126055000,11070550,1518,1906,3424,23177,14.77,5983,1809,30.24,0.99,29.49,17.85,18.65,
서울특별시 중랑구 면목7동,1126057000,11070570,2554,2780,5334,22188,24.04,9689,3890,40.15,1.93,23.44,21.10,23.32,
서울특별시 중랑구 상봉1동,1126058000,11070590,2314,2618,4932,21820,22.60,9435,2858,30.29,0.75,20.65,19.77,19.91,
서울특별시 중랑구 상봉2동,1126059000,11070600,4319,3778,8097,19756,40.99,11976,7082,59.13,2.12,47.04,35.77,16.44,
서울특별시 중랑구 중화1동,1126060000,11070610,1831,2214,4045,20671,19.57,8128,2859,35.17,0.94,37.55,20.98,22.80,
서울특별시 중랑구 중화2동,1126061000,11070620,2752,3052,5804,29408,19.74,12054,6007,49.83,2.84,42.58,23.17,23.45,
서울특별시 중랑구 묵1동,1126062000,11070640,3340,3665,7005,25441,27.53,13917,4612,33.14,0.62,27.80,20.88,20.14,
서울특별시 중랑구 묵2동,1126063000,11070650,2106,2189,4295,27931,15.38,8439,3511,41.60,1.68,44.74,21.55,22.92,
서울특별시 중랑구 망우3동,1126066000,11070680,1596,1755,3351,26143.5,12.82,7330,3201,43.67,2.32,55.99,19.55,24.68,
서울특별시 중랑구 신내1동,1126068000,11070690,3118,3701,6819,27963.5,24.39,13881,3121,22.48,0.29,5.76,17.20,21.74,
서울특별시 중랑구 신내2동,1126069000,11070700,1880,2195,4075,219866,1.85,8463,2823,33.36,0.38,0.00,17.69,24.80,
서울특별시 중랑구 면목본동,1126056500,11070710,3885,4269,8154,26274.5,31.03,16238,7672,47.25,3.02,56.58,24.50,21.06,
서울특별시 중랑구 면목3·8동,1126057500,11070720,2622,3062,5684,23134,24.57,11593,5123,44.19,2.01,32.24,22.06,23.50,
서울특별시 중랑구 망우본동,1126065500,11070730,5653,3940,9593,26643,36.01,17163,6794,39.59,1.51,21.79,20.89,20.47,
서울특별시 성북구 돈암1동,1129058000,11080580,1275,1488,2763,18452.5,14.97,5750,1673,29.10,0.60,3.18,19.65,23.35,
서울특별시 성북구 돈암2동,1129059000,11080590,2112,2245,4357,19046,22.88,8121,1433,17.65,0.37,4.60,16.31,17.50,
서울특별시 성북구 안암동,1129060000,11080600,3790,3419,7209,15744,45.79,9902,7008,70.77,7.23,31.87,51.91,10.76,
서울특별시 성북구 보문동,1129061000,11080610,2200,2342,4542,16642.5,27.29,7475,3221,43.09,2.94,21.07,26.38,17.87,
서울특별시 성북구 정릉1동,1129062000,11080620,1924,2065,3989,19831,20.11,7087,2120,29.91,1.15,10.72,19.80,19.50,
서울특별시 성북구 정릉2동,1129063000,11080630,2115,2466,4581,17849.5,25.66,9121,2755,30.21,1.16,41.42,20.87,22.49,
서울특별시 성북구 정릉3동,1129064000,11080640,2289,3009,5298,18813.5,28.16,7404,3979,53.74,8.40,34.71,38.76,19.52,
서울특별시 성북구 정릉4동,1129065000,11080650,2379,2461,4840,29529,16.39,10105,3273,32.39,1.39,25.61,21.02,21.92,
서울특별시 성북구 길음1동,1129066000,11080660,4127,3322,7449,28426.5,26.20,12177,2119,17.40,0.39,1.97,14.08,14.68,
서울특별시 성북구 길음2동,1129068500,11080680,2738,3099,5837,29166,20.01,8064,1973,24.47,0.88,1.93,17.12,15.81,
서울특별시 성북구 월곡1동,1129071500,11080710,2111,2488,4599,21638.5,21.25,9941,2712,27.28,0.95,10.67,16.81,21.36,
서울특별시 성북구 월곡2동,1129072500,11080720,2361,2535,4896,20660.5,23.70,9055,4258,47.02,2.93,14.37,28.52,20.59,
서울특별시 성북구 장위1동,1129076000,11080760,2158,2460,4618,17769,25.99,9724,3262,33.55,0.93,65.37,20.26,19.56,
서울특별시 성북구 장위2동,1129077000,11080770,1226,1432,2658,15506.5,17.14,5931,2389,40.28,1.79,42.01,21.96,26.32,
서울특별시 성북구 장위3동,1129078000,11080780,1864,2003,3867,26015.5,14.86,6041,1726,28.57,1.39,5.38,18.89,15.97,
서울특별시 성북구 성북동,1129052500,11080810,2107,2150,4257,18654,22.82,7531,3493,46.38,2.51,30.85,26.00,19.79,
서울특별시 성북구 삼선동,1129055500,11080820,2838,3056,5894,18241,32.31,10458,4941,47.25,2.47,23.99,29.12,18.38,
서울특별시 성북구 동선동,1129057500,11080830,3163,3185,6348,14378.5,44.15,8938,5829,65.22,4.39,36.02,44.25,13.61,
서울특별시 성북구 종암동,1129070500,11080840,3629,4154,7783,30981,25.12,16126,6055,37.55,5.68,18.77,24.00,19.25,
서울특별시 성북구 석관동,1129081000,11080850,3536,3787,7323,158045,4.63,15277,6011,39.35,2.76,27.22,22.61,23.22,
서울특별시 강북구 번1동,1130559500,11090600,2243,3278,5521,15292.5,36.10,8799,4791,54.45,2.71,39.81,27.09,21.70,
서울특별시 강북구 번2동,1130560300,11090610,1237,1412,2649,15145.5,17.49,6949,2807,40.39,0.57,52.92,18.13,30.13,
서울특별시 강북구 번3동,1130560800,11090620,1050,1258,2308,17585.5,13.12,7283,2641,36.26,0.24,3.73,15.14,31.88,
서울특별시 강북구 수유1동,1130561500,11090630,2317,2476,4793,19746.5,24.27,9507,4293,45.16,1.20,59.74,22.68,24.31,
서울특별시 강북구 수유2동,1130562500,11090640,2014,2220,4234,21350.5,19.83,8915,3147,35.30,0.75,47.11,18.33,27.72,
서울특별시 강북구 수유3동,1130563500,11090650,3573,3660,7233,20958.5,34.51,12394,6993,56.42,2.20,58.45,28.73,22.05,
서울특별시 강북구 삼양동,1130553400,11090690,4011,2370,6381,22486,28.38,10211,3530,34.57,0.91,33.38,18.58,23.55,
서울특별시 강북구 미아동,1130553500,11090700,2859,3040,5899,24040,24.54,10689,5538,51.81,2.87,52.63,26.07,23.99,
서울특별시 강북구 송중동,1130554500,11090710,2802,3429,6231,25264,24.66,12544,5026,40.07,2.87,37.04,20.88,23.33,
서울특별시 강북구 송천동,1130555500,11090720,2249,3474,5723,26080,21.94,11219,4740,42.25,2.37,35.84,18.48,28.09,
서울특별시 강북구 삼각산동,1130557500,11090730,2308,2620,4928,23153.5,21.28,11115,2468,22.20,0.24,0.21,14.52,17.18,
서울특별시 강북구 우이동,1130564500,11090740,2127,2203,4330,23952,18.08,8622,3068,35.58,0.81,61.99,18.83,27.39,
서울특별시 강북구 인수동,1130566000,11090750,2693,3044,5737,165538.5,3.47,12682,4663,36.77,0.74,63.46,18.32,27.41,
서울특별시 도봉구 쌍문1동,1132066000,11100510,2247,2202,4449,19039,23.37,8948,3118,34.85,0.51,50.61,22.53,24.02,
서울특별시 도봉구 쌍문2동,1132067000,11100520,1816,2046,3862,16739,23.07,7856,2785,35.45,0.95,39.13,18.88,25.28,
서울특별시 도봉구 쌍문3동,1132068000,11100530,1734,1996,3730,16896.5,22.08,7706,3326,43.16,1.34,40.92,23.09,23.36,
서울특별시 도봉구 쌍문4동,1132068100,11100540,1754,1932,3686,22460,16.41,6840,1554,22.72,0.22,7.68,17.04,21.16,
서울특별시 도봉구 방학1동,1132069000,11100550,2835,3194,6029,22846,26.39,11970,4495,37.55,1.19,27.78,18.42,25.17,
서울특별시 도봉구 방학2동,1132070000,11100560,1633,1965,3598,21714.5,16.57,8368,3311,39.57,1.22,63.54,17.12,27.20,
서울특별시 도봉구 방학3동,1132071000,11100570,2003,2140,4143,257846,1.61,9510,1823,19.17,0.19,3.47,14.89,24.57,
서울특별시 도봉구 창1동,1132051100,11100590,2298,2531,4829,25520.5,18.92,10205,3500,34.30,0.78,10.82,18.88,22.11,
서울특별시 도봉구 창2동,1132051200,11100600,2565,3013,5578,20185.5,27.63,11756,3742,31.83,0.87,54.42,20.57,21.89,
서울특별시 도봉구 창3동,1132051300,11100610,1256,1444,2700,19508.5,13.84,5899,2239,37.96,0.95,39.50,17.51,25.18,
서울특별시 도봉구 창4동,1132051400,11100620,2738,2599,5337,24779,21.54,10703,3287,30.71,0.34,0.38,19.89,19.43,
서울특별시 도봉구 창5동,1132051500,11100630,2592,2818,5410,21465.5,25.20,9777,2969,30.37,0.71,16.45,20.35,22.11,
서울특별시 도봉구 도봉1동,1132052100,11100640,1883,2167,4050,22697.5,17.84,9216,3694,40.08,0.85,56.32,15.77,33.27,
서울특별시 도봉구 도봉2동,1132052200,11100650,2821,2719,5540,23076.5,24.01,11087,3504,31.60,0.48,4.35,16.58,29.09,
서울특별시 노원구 월계1동,1135056000,11110510,2528,2690,5218,22611.5,23.08,9415,3876,41.17,3.06,28.07,27.75,20.79,
서울특별시 노원구 월계2동,1135057000,11110520,2124,2329,4453,26507,16.80,11252,4061,36.09,0.34,2.56,16.29,25.84,
서울특별시 노원구 월계3동,1135058000,11110530,2641,3077,5718,31645.5,18.07,12288,4010,32.63,0.35,0.13,18.20,24.32,
서울특별시 노원구 공릉2동,1135060000,11110560,4715,4929,9644,33108,29.13,16889,5711,33.81,1.47,8.68,27.51,14.59,
서울특별시 노원구 하계1동,1135061100,11110580,3712,4001,7713,23123.5,33.36,10516,3876,36.86,0.52,5.35,25.46,18.95,
서울특별시 노원구 하계2동,1135061200,11110590,1736,2097,3833,21075,18.19,7860,1856,23.61,0.18,0.00,16.98,18.18,
서울특별시 노원구 중계본동,1135061900,11110600,2428,2829,5257,24192,21.73,7531,1281,17.01,0.16,11.54,15.51,12.12,
서울특별시 노원구 중계1동,1135062100,11110610,3149,3280,6429,22411,28.69,8634,1295,15.00,0.66,0.00,12.49,10.97,
서울특별시 노원구 중계4동,1135062400,11110640,1797,1920,3717,25143.5,14.78,7830,2522,32.21,0.23,2.98,16.49,23.57,
서울특별시 노원구 상계1동,1135063000,11110650,3052,3386,6438,27407,23.49,14732,4232,28.73,0.36,12.57,17.97,23.46,
서울특별시 노원구 상계2동,1135064000,11110660,2180,2379,4559,22838.5,19.96,7917,2731,34.50,1.17,19.55,21.31,21.42,
서울특별시 노원구 상계5동,1135067000,11110690,2182,2517,4699,26546.5,17.70,10109,3681,36.41,0.56,25.49,18.94,25.08,
서울특별시 노원구 상계8동,1135070000,11110720,2385,2905,5290,20237,26.14,8784,2148,24.45,0.10,0.00,22.42,15.23,
서울특별시 노원구 상계9동,1135071000,11110730,1908,2331,4239,18418,23.02,7950,2159,27.16,0.19,0.00,18.53,20.82,
서울특별시 노원구 상계10동,1135072000,11110740,2012,2342,4354,239237.5,1.82,7255,1917,26.42,0.29,0.00,19.68,17.87,
서울특별시 노원구 상계3·4동,1135066500,11110760,2321,2490,4811,24565.5,19.58,11559,3878,33.55,0.40,17.72,16.20,25.25,
