ADM_CD_2025,ADM_NM,SGG_CD,total_damage_count,log_total_damage_count,total_F_AREA,log_total_F_AREA,total_area_depth,log_total_area_depth,n_damage_years,area_depth_evenness,max_year_share_area_depth,cluster_id,cluster_label,cluster_number_label
11020690,신당동,11020,12,2.5649493574615367,1121,7.022868086082641,358.3,5.884157694119473,4,0.848536577827328,0.49706949483672896,1,3. Moderate or low damage but recurrent,Cluster 1: 3. Moderate or low damage but recurrent
11020700,다산동,11020,11,2.4849066497880004,2883,7.96693349840484,848.4,6.744530217879171,4,0.7163543777255031,0.5028288543140028,1,3. Moderate or low damage but recurrent,Cluster 1: 3. Moderate or low damage but recurrent
11020710,약수동,11020,3,1.3862943611198906,533,6.280395838960195,139,4.941642422609304,3,0.7399244346032917,0.6992805755395683,1,3. Moderate or low damage but recurrent,Cluster 1: 3. Moderate or low damage but recurrent
11020720,청구동,11020,1,0.6931471805599453,47,3.871201010907891,14.1,2.714694743820879,1,0,1,2,4. Low damage and episodic,Cluster 2: 4. Low damage and episodic
11020730,동화동,11020,3,1.3862943611198906,555.6,6.3218468490917905,151.42,5.026639868237972,2,0.7250343219953282,0.7984414212125215,1,3. Moderate or low damage but recurrent,Cluster 1: 3. Moderate or low damage but recurrent
11030510,후암동,11030,26,3.295836866004329,5198.73,8.556361980144546,1559.619,7.3528378164131105,3,0.8647170940250498,0.5819171220663508,1,3. Moderate or low damage but recurrent,Cluster 1: 3. Moderate or low damage but recurrent
11030520,용산2가동,11030,25,3.258096538021482,4380.6,8.385169233469512,1314.18,7.181728817373639,3,0.7469848333838212,0.6705953522348537,1,3. Moderate or low damage but recurrent,Cluster 1: 3. Moderate or low damage but recurrent
11030530,남영동,11030,24,3.2188758248682006,117127.33,11.671025450299853,34557.598,10.450411654965494,4,0.050877622290644,0.9884378827486794,4,2. High damage but concentrated,Cluster 4: 2. High damage but concentrated
11030570,원효로2동,11030,12,2.5649493574615367,1625.5,7.394185745913406,487.65,6.191646486784845,3,0.7689272821769656,0.5227130113811136,1,3. Moderate or low damage but recurrent,Cluster 1: 3. Moderate or low damage but recurrent
11030580,효창동,11030,9,2.302585092994046,9004.11,9.105547472971317,2701.233,7.901833747222772,3,0.3395807419703055,0.9013128449119345,4,2. High damage but concentrated,Cluster 4: 2. High damage but concentrated
11030590,용문동,11030,22,3.1354942159291497,2447.15,7.803087916264815,734.145,6.600067758667476,3,0.7756172388207149,0.6482030116666326,1,3. Moderate or low damage but recurrent,Cluster 1: 3. Moderate or low damage but recurrent
11030630,이촌1동,11030,1,0.6931471805599453,589.09685311,6.380286681240905,117.81937062200001,4.777604446010688,1,0,1,2,4. Low damage and episodic,Cluster 2: 4. Low damage and episodic
11030640,이촌2동,11030,2,1.0986122886681098,12309.37,9.418197275591139,3692.811,8.21441399540045,1,0,1,4,2. High damage but concentrated,Cluster 4: 2. High damage but concentrated
11030650,이태원1동,11030,25,3.258096538021482,3482.58,8.155815779614827,1033.49,6.941663830633319,5,0.6198901101370654,0.6623053924082478,1,3. Moderate or low damage but recurrent,Cluster 1: 3. Moderate or low damage but recurrent
11030660,이태원2동,11030,15,2.772588722239781,2171.22,7.683504965058866,643.3829999999999,6.468293269825098,4,0.7553684591663621,0.5808142272954058,1,3. Moderate or low damage but recurrent,Cluster 1: 3. Moderate or low damage but recurrent
11030690,서빙고동,11030,14,2.70805020110221,2346.61,7.761153068344557,657.3259999999999,6.489700249364565,3,0.7874683953530361,0.6656742620860882,1,3. Moderate or low damage but recurrent,Cluster 1: 3. Moderate or low damage but recurrent
11030700,보광동,11030,67,4.219507705176107,10972.33,9.303223062356142,3133.558,8.050243454291435,4,0.8343184621388297,0.4531337859391784,5,1. High damage and recurrent,Cluster 5: 1. High damage and recurrent
11030710,청파동,11030,35,3.58351893845611,6093.6,8.715158412198212,1790.348,7.490723688043589,5,0.5734145943762364,0.6168091343135524,1,3. Moderate or low damage but recurrent,Cluster 1: 3. Moderate or low damage but recurrent
11030720,원효로1동,11030,11,2.4849066497880004,2415.46,7.7900589382824235,701.638,6.554841823196978,3,0.38586772016306176,0.888928478788207,1,3. Moderate or low damage but recurrent,Cluster 1: 3. Moderate or low damage but recurrent
11030730,한강로동,11030,34,3.5553480614894135,15940.12,9.676657213363923,4660.142,8.447015761474004,3,0.5557633488570027,0.7526596829023665,1,3. Moderate or low damage but recurrent,Cluster 1: 3. Moderate or low damage but recurrent
11030740,한남동,11030,37,3.6375861597263857,9952.89,9.205718708523603,2985.8669999999997,8.001980290944237,3,0.7174252736738168,0.7002860475701027,1,3. Moderate or low damage but recurrent,Cluster 1: 3. Moderate or low damage but recurrent
11040520,왕십리2동,11040,6,1.9459101490553132,780,6.660575149839686,279.6,5.6369301676683605,3,0.8363189151802122,0.47210300429184543,1,3. Moderate or low damage but recurrent,Cluster 1: 3. Moderate or low damage but recurrent
11040540,마장동,11040,11,2.4849066497880004,1564.6,7.356024416081866,469.38,6.1535408786737404,3,0.8584595526670551,0.49399207465166817,1,3. Moderate or low damage but recurrent,Cluster 1: 3. Moderate or low damage but recurrent
11040550,사근동,11040,12,2.5649493574615367,1879,7.539027055823995,615.6999999999999,6.424382681997447,3,0.853030691143786,0.5950950138054247,1,3. Moderate or low damage but recurrent,Cluster 1: 3. Moderate or low damage but recurrent
11040560,행당1동,11040,33,3.5263605246161616,3624,8.195609567288775,1233.6,7.118502309959795,3,0.7045710133809221,0.6921206225680934,1,3. Moderate or low damage but recurrent,Cluster 1: 3. Moderate or low damage but recurrent
11040570,행당2동,11040,2,1.0986122886681098,139.93,4.9482633132034195,41.979,3.7607116243080476,2,0.799137507288165,0.757521617951833,1,3. Moderate or low damage but recurrent,Cluster 1: 3. Moderate or low damage but recurrent
11040580,응봉동,11040,3,1.3862943611198906,495,6.206575926724928,174.9,5.169915651743512,1,0,1,2,4. Low damage and episodic,Cluster 2: 4. Low damage and episodic
